Coll. No.,Family,Scientific Name,Common Name,Locality and habitat description,Habit,GPSN,GPSE,Altitude,Date,Collector,Identifier,Note
5087,Moraceae,Ficus pedunculosa Merr.,蘭嶼蔓榕,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",fruiting,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5088,Urticaceae,Leucosyke quadrinervia C.B.Rob.,四脈麻,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",flowering,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5089,Cyperaceae,Schoenoplectus tabernaemontani (C.C.Gmel.) Palla,水蔥,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",flowering,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5090,Thelypteridaceae,Grypothrix ramosii (Christ) S.E.Fawc. & A.R.Sm.,琉球新月蕨,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",sporing,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5091,Rubiaceae,Lasianthus obliquinervis var. simizui T.S.Liu & J.M.Chao,清水氏雞屎樹,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",flowering,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5092,Polygonaceae,Persicaria lapathifolia (L.) Delarbre,早苗蓼,"台東縣 (Taitung county), 大武鄉 (Tawu township), 大武第一公墓 (First cemetary of Tawu township)",flowering,,,,2 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 張之毅 (C. Y. Chang), 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang)",,
5093,Cyperaceae,Schoenus falcatus R.Br.,赤箭莎,"台東縣 (Taitung county), 池上鄉 (Chihshan township)",fruiting,,,,1 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 張之毅 (C. Y. Chang), 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang)",,
5094,Poaceae,Narenga porphyrocoma (Hance ex Trimen) Bor,河王八,"苗栗縣 (Miaoli county), 通霄鎮 (Tonghsiao town)",flowering,,,,3 Nov. 2019,趙建棣 (C. T. Chao),,
5095,Poaceae,Apluda mutica L.,水蔗草,"苗栗縣 (Miaoli county), 通霄鎮 (Tonghsiao town)",flowering,,,,3 Nov. 2019,趙建棣 (C. T. Chao),,
5096,Leguminosae,Smithia sensitiva Aiton,坡油甘,"苗栗縣 (Miaoli county), 通霄鎮 (Tonghsiao town)",flowering,,,,3 Nov. 2019,趙建棣 (C. T. Chao),,
5097,Fagaceae,Quercus hypophaea Hayata,灰背櫟,"台東縣 (Taitung county), 大武鄉 (Tawu township), 山豬窟暖暖亭 (Shanchuku, Nuannuanting, a pavilion)",fruiting,,,,2 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 張之毅 (C. Y. Chang), 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang)",,
5098,Cyperaceae,Fuirena umbellata Rottb.,黑珠蒿,"苗栗縣 (Miaoli county), 通霄鎮 (Tonghsiao town)",flowering,,,,3 Nov. 2019,趙建棣 (C. T. Chao),,
5099,Cyperaceae,Cladium jamaicense Crantz,華克拉莎,"台東縣 (Taitung county), 池上鄉 (Chihshan township)",fruiting,,,,1 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 張之毅 (C. Y. Chang), 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang)",,
5100,Malvaceae,Sida cordifolia L.,圓葉金午時花,"台東縣 (Taitung county), 卑南鄉 (Peinan township), 知本溼地 (Chihpen wetland)",flowering and fruiting,,,,2 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 張之毅 (C. Y. Chang), 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang)",,
5101,Leguminosae,Indigofera tinctoria L.,木藍,"台東縣 (Taitung county), 卑南鄉 (Peinan township), 知本溼地 (Chihpen wetland)",flowering and fruiting,,,,2 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 張之毅 (C. Y. Chang), 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang)",,
5102,Leguminosae,Sohmaea diffusa (DC.) H.Ohashi & K.Ohashi,散花山螞蝗,"台東縣 (Taitung county), 卑南鄉 (Peinan township), 知本溼地 (Chihpen wetland)",flowering and fruiting,,,,2 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 張之毅 (C. Y. Chang), 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang)",,
5103,Leguminosae,Cajanus scarabaeoides (L.) Thouars,蔓蟲豆,"台東縣 (Taitung county), 卑南鄉 (Peinan township), 知本溼地 (Chihpen wetland)",fruiting,,,,2 Nov. 2019,"趙建棣 (C. T. Chao) accompanied with 張之毅 (C. Y. Chang), 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang)",,
