Scientific Name,Common Name,Family
Prosaptia contigua (G.Forst.) C.Presl,穴子蕨,Gammatidaceae
Prunella vulgaris L.,夏枯草,Labiatae
Prunella vulgaris subsp. asiatica,夏枯草,Labiatae
Prunus grisea Kalkman,蘭嶼野櫻花,Rosaceae
Prunus obtusata Koehne,台灣稠李,Rosaceae
"Prunus phaeosticta (Hance) Maxim., 1883",墨點櫻桃,Rosaceae
Prunus pogonostyla Maxim.,毛柱郁李,Rosaceae
Prunus spinulosa Siebold & Zucc.,刺葉桂櫻,Rosaceae
Prunus transarisanensis var. transarisanensis Hayata,阿里山櫻,Rosaceae
Prunus zippeliana Miq.,黃土樹,Rosaceae
Pseudocayratia pengiana T. W. Hsu & J. Wen,彭氏擬烏斂莓,Vitaceae
Pseudophegopteris hirtirachis (C.Chr.) Holttum,毛囊紫柄蕨,Thelypteridaceae
Psychorchia manillensis,琉球九節木,Rubiaceae
Psychotria cephalophora Merr.,蘭嶼九節木,Rubiaceae
Psychotria manillensis Bartl. ex DC.,琉球九節木,Rubiaceae
Pteris bella Tagawa,長柄鳳尾蕨,Pteridaceae
Pteris deltoton,岩鳳尾蕨,Pteridaceae
Pteris grevilleana Wall. ex J.Agardh,翅柄鳳尾蕨,Pteridaceae
Pteris kidoi Sa.Kurata,城戶氏鳳尾蕨,Pteridaceae
Pteris sp.,,Pteridaceae
Pterocypsela indica,鵝仔草,Compositae
Pueraria montana var. thomsonii (Benth.) M.R.Almeida,大葛藤,Fabaceae
Pycnospora lutescens (Poir.) Schindl.,密子豆,Leguminosae
Pyracantha koidzumii (Hayata) Rehder,台東火刺木,Rosaceae
Pyrenaria shikoensis,烏皮茶,Theaceae
Pyrrosia angustissima (Giesenh. ex Diels) Tagawa & K.Iwats.,捲葉蕨,Polypodiaceae
Quercus acutissima Carruth.,麻櫟,Fagaceae
Quercus aliena,槲櫟,Fagaceae
Quercus glauca,青剛櫟,Fagaceae
Quercus glauca Thunb.,青剛櫟,Fagaceae
Quercus hypophaea Hayata,灰背櫟,Fagaceae
Ranuculus cheirophyllus,溝柱毛茛,Ranuculaceae
Ranunculus sp.,,Ranunculaceae
Reynoutria japonica Houtt.,虎杖,Polygonaceae
Rhamnus chingshuiensis Shimizu,清水鼠李,Rhamnaceae
Rhamnus chingshuiensis var. tashanensis Y.C.Liu & C.M.Wang,塔山鼠李,鼠李科 (Rhamnaceae)
Rhamnus formosana,桶鉤藤,Rhamnaceae
Rhamnus nakaharae (Hayata) Hayata,中原氏鼠李,Rhamnaceae
Rhamnus pilushanensis Y.C.Liu & C.M.Wang,畢祿山鼠李,Rhamnaceae
Rhaphiolepis,厚葉石斑木,Rosaceae
Rhaphiolepis indica var. shilanensis Yuen P.Yang & H.Y.Liu,恆春石斑木,Rosaceae
Rhaphiolepis indica var. tashiroi,田代氏石斑木,Rosaceae
Rhododendron farrerae Sweet,丁香杜鵑,Ericaceae
Rhododendron mariesii Hemsl. & E.H. Wilson,守城滿山紅,Ericaceae
Rhododendron nakaharae Hayata,中原氏杜鵑,Ericaceae
Rhododendron sp.,,Ericaceae
Rhododndron simsii,唐杜鵑,Ericaceae
Rhomboda yakusimensis (Masam.) Ormerod,白肋角唇蘭,Orchidaceae
Rhus,木臘樹,Anacardiaceae
Rhynchitechum discolor,同蕊草,Gesneriaceae
Rhynchosia minima (L.) DC.,小葉括根,Leguminosae
Rhynchosia rothii Benth. ex Aitch.,絨葉括根,Leguminosae
Rhynchospermum verticillatum Reinw.,秋分草,Compositae
Rhynchospora corymbosa (L.) Britton,三儉草,Cyperaceae
Rhynchotechum discolor (Maxim.) B.L. Burtt,同蕊草,Gesneriaceae
Ribes formosanum Hayata,台灣茶藨子,Grossulariaceae
Rohdea fargesii,萬年青,Asparagaceae
Rohdea fargesii (Baill.) Y.F.Deng,萬年青,Asparagaceae
Rosa bracteata J.C.Wendl.,琉球野薔薇,Rosaceae
Rosa pricei Hayata,小金櫻,Rosaceae
Rotala indica var. uliginosa (Miq.) Koehne,沼澤節節菜,Lythraceae
Rottboellia cochinchinensis,羅氏草,Poaceae
Rubia akane var. erecta Masam.,直立紅藤草,Rubiaceae
Rubiteucris palmata (Benth. ex Hook. f.) Kudô,掌葉野藿香,唇形科 (Labiatae)
Rubus hui Diels ex Hu,胡氏懸鉤子,Rosaceae
Rubus lambertianus var. morii,尾葉懸鉤子,Rosaceae
Rubus liui Yuen P.Yang & S.Y.Lu,柳氏懸鉤子,薔薇科 (Rosaceae)
Rubus nagasawanus Koidz.,大同灰葉懸鉤子,Rosaceae
Rubus ritozanensis,李棟山懸鉤子,Rosaceae
Saccharum spontaneum,甜根子草,Poaceae
Saccharum spontaneum L.,甜根子草,Poaceae
Sageretia thea var. taiwaniana (Hosok. ex Masam.) Y.C.Liu & C.M.Wang,臺灣雀梅藤,Rhamnaceae
Sagina japonica (Sw.) Ohwi,瓜槌草,Caryophyllaceae
Sagina maxima A. Gray,大瓜槌草,Caryophyllaceae
Sagittaria sagittifolia L.,慈菇,Alismataceae
Salomonia ciliata (L.) DC.,齒果草,Polygalaceae
Salvia,,Labiatae
Salvia formosana (Murata) T.Yamaz.,臺灣紫花鼠尾草,唇形科 (Labiatae)
Salvia plebeia,節毛鼠尾草,Labiatae
Santaloides minor (Gaertn.) G.Schellenb.,牛栓藤,Connaraceae
Sarcandra glabra,紅果金粟蘭,Chloranthaceae
Sarcopyramis napalensis var. bodinieri (H. Lév. & Vaniot) H. Lév.,肉穗野牡丹,Melastomataceae
Sarcopyramis napalensis var. delicata,東方肉穗野牡丹,Melastomataceae
Sauriana maritima,海人樹,Saurianaceae
Saussurea deltoidea,臺灣青木香,Compositae
Saussurea deltoidea (DC.) Sch. Bip.,臺灣青木香,Compositae
Saussurea glandulosa Kitam.,高山青木香,Compositae
Saussurea kiraisiensis Masam.,奇萊青木香,Compositae
Schefflera arboricola (Hayata) Kanehira,鵝掌檗,Araliaceae
Schizophragma fauriei Hayata,圓葉鑽地風,Saxifragaceae
Schoenoplectiella juncoides (Roxb.) Lye,螢藺,Cyperaceae
Schoenoplectus tabernaemontani (C.C.Gmel.) Palla,水蔥,Cyperaceae
Schoenus falcatus R.Br.,赤箭莎,Cyperaceae
Scleria biflora,二花珍珠茅,Cyperaceae
Scleria biflora Roxb.,二花珍珠茅,Cyperaceae
Scleria levis Retz.,毛果珍珠茅,Cyperaceae
Scleria lithosperma (L.) Sw.,石果珍珠茅,Cyperaceae
Scleria scrobiculata Nees & Meyen,輪葉珍珠茅,Cyperaceae
Scleria sp.,,Cyperaceae
Sclerids sp.,,Cyperaceae
Scleromitrion angustifolium (Cham. & Schltdl.) Benth.,細葉龍吐珠,Rubiaceae
Scrophularia yoshimurae T.Yamaz.,雙鋸齒玄參,玄參科 (Scorphulariaceae)
Scutellaria barbata,,Labiatae
Scutellaria barbata D.Don,向天盞,Labiatae
Scutellaria playfairi,布烈氏黃芩,Labiatae
Scutellaria playfairii Kudô,布烈氏黃芩,Labiatae
Sedum,,Crassulaceae
Sedum actinocarpum Yamam.,星果佛甲草,Crassulaceae
Sedum morrisonense Hayata,玉山佛甲草,Crassulaceae
Sedum sp.,,景天科 (Crassulaceae)
Sedum taiwanianum S.S.Ying,台灣佛甲草,Crassulaceae
Sedum tarokoense H.W.Lin & J.C.Wang,太魯閣佛甲草,Crassulaceae
Selaginella aristata Spring,膜葉卷柏,Sellaginelaceae
Selaginella ciliaris (Retz.) Spring,緣毛卷柏,Selaginellaceae
"Selaginella helvetica subsp. pseudonipponica (Tagawa) H.M.Chang, W.L.Chiou & J.C.Wang",擬日本卷柏,Sellaginelaceae
Selaginella nipponica Franch. & Sav.,日本卷柏,Sellaginelaceae
Selliguea falcatopinnata (Hayata) H.Ohashi & K.Ohashi,掌葉茀蕨,Polypodiaceae
Selliguea hastata (Thunb. ex Murray) H.Ohashi & K.Ohashi,三葉茀蕨,Polypodiaceae
Selliguea quasidivaricata (Hayata) H.Ohashi & K.Ohashi,玉山茀蕨,Polypodiaceae
Selliguea yakushimensis (Makino) Fraser-Jenk.,姬茀蕨,Polypodiaceae
Senecio,台東黃菀,Compositae
Senecio nemorensis var. dentatus,黃菀,Compositae
Senecio scandens,蔓黃菀,Compositae
Senecio taitungensis S.S.Ying,台東黃菀,Compositae
Senega paniculata (L.) J.F.B. Pastore & J.R. Abbott,圓錐花遠志,Polygalaceae
Senna tora (L.) Roxb.,決明,Fabaceae
Setaria plicata (Lam.) T.Cooke,皺葉狗尾草,Poaceae
Shortia sp.,,Diapensiaceae
Sida cordifolia L.,圓葉金午時花,Malvaceae
Sida mysorensis,薄葉金午時花,Malvaceae
Sida sp.,,Malvaceae
Silene,女婁菜,Caryophyllaceae
Silene fissipetala var. bilobata,二裂蠅子草,Caryophyllaceae
Sinopanax formosana,華參,Araliaceae
Siphonostegia chinensis Benth.,陰行草,Orobanchaceae
Sisyrinchium atlanticum E.P.Bicknell,庭菖蒲,Iridaceae
Sisyrinchium exile E.P.Bicknell,黃花庭菖蒲,Iridaceae
Sloanea formosana,猴歡喜,Elaeocarpaceae
Smilax bracteata var. verruculosa (Merr.) T.Koyama,糙莖菝葜,Smilacaceae
Smilax china L.,菝葜,Smilacaceae
Smilax discotis var. concolor,宜蘭菝葜,Smilacaceae
Smilax horridiramula Hayata,密刺菝葜,Smilacaceae
Smilax lanceifolia Roxb.,台灣菝葜,Smilacaceae
Smilax menispermoidea A.DC.,巒大菝葜,Smilacaceae
Smilax ocreata,耳葉菝葜,Smilcaceae
Smilax riparia A.DC.,大武牛尾菜,Smilacaceae
Smilax vaginata Decne.,玉山菝葜,菝葜科 (Smilacaceae)
Smithia sensitiva Aiton,坡油甘,Leguminosae
Sohmaea diffusa (DC.) H.Ohashi & K.Ohashi,散花山螞蝗,Leguminosae
Solanum,山菸草,Solanaceae
Solanum miyakojimense T. Yamaz. & A. Takushi,宮古茄,Solanaceae
Solanum peikuoense S.S. Ying,白狗大山茄,Solanaceae
Solanum pittosporifolium,玉山茄,Solanaceae
Solidago decurrens Lour.,一枝黃花,Compositae
Sophora flavescens Aiton,苦參,Fabaceae
Sorghum nitidum (Vahl) Pers.,光高粱,Poaceae
Sorghum propinquum (Kunth) Hitchc.,擬高粱,Poaceae
Spergula arvensis L.,大爪草,Caryophyllaceae
Spergularia marina (L.) Besser,擬漆姑,Caryophyllaceae
Spermacoce mauritiana Gideon,蔓鴨舌癀舅,Rubiaceae
Spermacoce pusila,小鴨舌癀舅,Rubiaceae
Sphaeranthus africanus L.,戴星草,Compositae
Sphaerostephanos productus (Kaulf.) Holttum,蘭嶼圓腺蕨,Thelypteridaceae
Sphagneticola calendulacea (L.) Pruski,蟛蜞菊,Compositae
Spicantopsis hancockii (Hance) Masam.,韓氏烏毛蕨,Blechnaceae
Spinifex littoreus,濱刺麥,Poaceae
Spiraea blumei G.Don,繡球繡線菊,薔薇科 (Rosaceae)
Spiraea formosana,臺灣繡線菊,Rosaceae
Spiraea prunifolia var. pseudoprunifolia,笑靨花,Rosaceae
Spiraea tatakaensis,塔塔加繡線菊,Rosaceae
Spiraea tatakaensis I.S.Chen,塔塔加繡線菊,Rosaceae
Spiranthes sinensis (Pers.) Ames,綬草,Orchidaceae
Stachys arvensis,田野水蘇,Labiatae
Stachys arvensis (L.) L.,田野水蘇,Labiatae
Stachyurus himalaicus Hook.f. & Thomson ex Benth.,通條木,Stachuraceae
Stauntonia obovata Hemsl.,鈍藥野木瓜,Lardizabalaceae
Stauntonia obovatifoliola Hayata,石月,Lardizabalaceae
Staurogyne concinnula (Hance) Kuntze,哈哼花,Acanthaceae
Stegnogramma griffithii (T.Moore) K.Iwats.,聖蕨,Thelypteridaceae
Stellaria media (L.) Vill.,繁縷,Caryophyllaceae
Stellaria monosperma,單子繁縷,石竹科 (Caryophyllaceae)
Stellaria reticulivena Hayata,網脈繁縷,Caryophyllaceae
Stellaria uliginosa var. undulata,天蓬草,Caryophyllaceae
Stemodia verticillata (Mill.) Hassl.,輪葉孿生花,Plantaginaceae
Stemona tuberosa Lour.,百部,Stemonaceae
Stephania japonica var. hispidula,千金藤,Menispermaceae
Stictocardia tiliifolia (Desr.) Hallier f.,大萼旋花,Convolvulaceae
Stimpsonia chamaedryoides C. Wright ex A. Gray,施丁草,Primulaceae
Striga crispata,大武獨腳金,Orobanchaceae
Striga lutea,獨腳金,Orobanchaceae
Striga masuria (Buch.-Ham. ex Benth.) Benth.,高雄獨腳金,Scorphulariaceae
Strobilanthus,馬藍,Acanthaceae
Strobilanthus formosanus,台灣馬藍,Acanthaceae
Stylidium tenellum Sw. ex Willd.,狹葉花柱草,Stylidiaceae
Stylosanthes,筆花豆,Leguminosae
Stylosanthes guianensis (Aubl.) Sw.,筆花豆,Fabaceae
Stylosanthes hamata,矮筆花豆,Leguminosae
Styrax,紅皮,Styracaceae
Styrax formosanus Matsum.,烏皮九芎,Styracaceae
Styrax japonicus var. kotoensis (Hayata) Masam. & Suzuki,蘭嶼安息香,Styracaceae
Suaeda maritime,鹽定,Chenopodiaceae
Suzukia luchuensis Kudô,琉球鈴木草,Labiatae
Suzukia shikikunensis Kudô,鈴木草,Labiatae
Swertia sp.,,Gentianaceae
Sycopsis sinensis,水絲梨,Hamamelidaceae
Symplocos acuminata Miq.,大里力灰木,Symplocaceae
Symplocos caudata Wall. ex G.Don,尾葉灰木,Symplocaceae
Symplocos chinensis (Lour.) Druce,灰木,Symplocaceae
Symplocos cochinchinensis,鏽葉灰木,Symplocaceae
Symplocos congesta var. congesta,楊桐葉灰木,Symplocaceae
Symplocos formosana,台灣灰木,Symplocaceae
Symplocos konishii,小西氏灰木,Symplocaceae
Symplocos koshunensis Kaneh.,恆春灰木,Symplocaceae
Symplocos migoi Nagam.,擬日本灰木,
Symplocos modesta,小葉白筆,Symplocaceae
Symplocos modesta Brand,小葉白筆,Symplocaceae
Symplocos morrisonicola Hayata,玉山灰木,Symplocaceae
Symplocos setchuensis Brand,四川灰木,Symplocaceae
Symplocos theophrastifolia Siebold & Zucc.,山豬肝,Symplocaceae
Symplocos wikstroemiifolia Hayata,蕘花葉灰木,Symplocaceae
Syringodium isoetifolium,針葉藻,Cymodoceaceae
Syzygium tripinnatum Merr.,大花赤楠,Myrtaceae
Tadehagi triquetrum subsp. pseudotriquetrum (DC.) H.Ohashi,葫蘆茶,Leguminosae
Taraxacum formosanum,台灣蒲公英,Compositae
Tarenna zeylanica Gaertn.,錫蘭玉心花,Rubiaceae
Taxillus liquidambaricolus (Hayata) Hosok.,大葉桑寄生,Loranthaceae
Tephrosia purpurea (L.) Pers.,灰毛豆,Leguminosae
Tetragonia tetragonoides,番杏,Aizoaceae
Teucrium bidentatum Hemsl.,二齒香科科,Labiatae
Teucrium taiwanianum T.H.Hsieh & T.C. Huang,臺灣香科科,Labiatae
Teucrium viscidum,血見愁,Labiatae
Teucrium viscidum Blume,血見愁,Labiatae
Thalassia hemprichii,泰來藻,Hydrocharitaceae
Thalictrum,,毛茛科 (Ranunculaceae)
Thalictrum sp.,,Ranunculaceae
Thalictrum urbaini var. majus T.Shimizu,大花傅氏唐松草,Ranunculaceae
Thalictrum virgatum,帚枝唐松草,Ranunculaceae
Themeda caudata (Nees) A. Camus,苞子草,Poaceae
Thesium chinense Turcz.,百蕊草,Santalaceae
Thismia huangii P.Y.Jiang & T.H.Hsieh,黃金水玉杯,Burmanniaceae
Thuarea involuta (G.Forst.) R.Br. ex Sm.,芻蕾草,Poaceae
Thyrocarpus sampsonii,盾果草,Boraginaceae
Thysanotus,異蕊草,Asparagaceae
Thysanotus chinensis,異蕊草,Asparagaceae
Thysanotus chinensis Benth.,異蕊草,百合科 (Liliaceae s. l.)
Tiarella polyphylla D.Don,黃水枝,Saxifragaceae
Timonius arboreus Elmer,貝木,Rubiaceae
Titanotrichum oldhamii (Hemsl.) Soler.,俄氏草,Gesneridaceae
"Torenia kinmenensis (Y.S.Liang, Chih H.Chen & J.L.Tsai) Y.S.Liang & J.C.Wang",金門母草,Linderniaceae
Torilis japonica,竊衣,Umbelliferae
Torilis japonica (Houtt.) DC.,竊衣,繖形科 (Umbelliferae)
Trachelospermum gracilipes (Hook.f.) Nakai,細梗絡石,Apocynaceae
Trachelospermum lanyuense C.E. Chang,蘭嶼絡石,Apocynaceaea
Trema orientalis,山黃麻,Ulmaceae
Trema orientalis (L.) Blume,山黃麻,
Tribulus cistoides,大花蒺藜,Zygophyllaceae
Tribulus taiwanense,臺灣蒺藜,Zygophyllaceae
Tribulus terrestris,蒺藜,Zygophyllaceae
Tricalysia dubia (Lindl.) Ohwi,龜仔角狗骨消,Rubiaceae
Trichomanes clathratum,窗格狀瓶蕨,Hymenophyllaceae
Trichophorum subcapitatum (Thwaites & Hook.) D.A.Simpson,玉山針藺,莎草科 (Cyperaceae)
Trichosanthes cucumeroides (Ser.) Maxim.,王瓜,Cucurbitaceae
Trichosanthes homophylla Hayata,芋葉栝樓,Cucurbitaceae
Tricyrtis formosana,台灣油點草,Liliaceae
Tricyrtis formosana Baker,台灣油點草,Liliaceae
Tricyrtis lasiocarpa,毛果油點草,Liliaceae
Tricyrtis lasiocarpa Matsum.,毛果油點草,Liliaceae
Tricyrtis ravenii,高山油點草,Liliaceae
Tricyrtis ravenii C.I Peng & Tiang,高山油點草,百合科 (Liliaceae s. l.)
Tricyrtis suzukii,鈴木氏油點草,Liliaceae
Tricyrtis suzukii Masam.,鈴木氏油點草,Liliaceae
Trigonotis elevatovenosa Hayata,台北附地草,Boraginaceae
Triodanis biflora (Ruiz & Pav.) Greene,卵葉異檐花,Campanulaceae
Triplaris cumingiana ,蓼樹,Polygonaceae
Triplostegia glandulifera Wall. ex DC.,三萼花草,Valerianaceae
Tripterospermum microphyllum,小葉肺形草,Gentianaceae
Tripterospermum sp.,,Gentianaceae
Tripterospermum taiwanense (Masam.) Satake,臺灣肺形草,Gentianaceae
Tripterygium wilfordii Hook.f.,雷公藤,Celastraceae
Triumfetta repens,匍地垂桉草,Tiliaceae
Triumfetta sp.,,Tiliaceae
Tubocapsicum anomalum (Franch. & Sav.) Makino,龍珠,Solanaceae
Turpinia ovalifolia Elmer,羽葉山香圓,Stachuraceae
Turpinia ternata Nakai,三葉山香圓,Staphyleaceae
Tylophora oshimae,,Asclepiadaceae
Ulmus uyematsui Hayata,阿里山榆,Ulmaceae
Uraria neglecta Prain,圓葉兔尾草,Fabaceae
Uraria picta,羽葉兔尾草,Leguminosae
Urena,野棉花,Malvaceae
Urochloa sp.,,Poaceae
Utricularia bifida L.,挖耳草,Urticaceae
Utricularia graminifolia,禾葉挖耳草,Lentibulariaceae
Utricularia graminifolia Vahl,禾葉挖耳草,Utriculariaceae
Utricularia heterosepala Benj.,異萼挖耳草,Utriculariaceae
Utricularia smithiana,,Utriculariaceae
Utricularia striatula,圓葉挖耳草,Utriculariaceae
Vaccinium dunalianum Wight & W. Theob.,珍珠花,Ericaceae
Vaccinium emarginatum Hayata,凹葉越橘,Ericaceae
Vaccinium merrillianum Hayata,高山越橘,Ericaceae
Vaccinium randaiense Hayata,巒大越橘,Ericaceae
Vaccinium randeiense,,Ericaceae
Vaccinium sp.,,Ericaceae
Vaccinium wrightii,大葉越橘,Ericaceae
Vaccinium wrightii Gray 1859,大葉越橘,Ericaceae
Vaccinium wrightii var. formosanum (Hayata) H.L. Li,臺灣大葉越橘,Ericaceae
Valeriana fauriei Briq.,纈草,Valeriaceae
Valeriana hsui M.J.Jung,許氏纈草,Valerianaceae
Veratrum,台灣藜蘆,Melanthiaceae
Veratrum formosana,臺灣藜蘆,Melanthiaceae
Veratrum formosanum,台灣藜蘆,Melanthiaceae
Veratrum nigrum,藜蘆,Melanthiaceae
Veratrum shuehshanarum,雪山藜蘆,Melanthiaceae
Verbena sp.,,Verbenaceae
Vernicia cordata (Thunb.) Airy Shaw,日本油桐,Euphorbiaceae
Vernonia maritima Merr.,濱斑鳩菊,Compositae
Veronica morrisonicola Hayata,玉山水苦蕒,玄參科 (Scorphulariaceae)
Veronica yushanchienshanica,玉山前山水苦賈,Scorphulariaceae
Veronicastrum axilare var. shimadae,新竹腹水草,Scorphulariaceae
Veronicastrum formosanum (Masam.) T. Yamaz.,台灣腹水草,Plantaginaceae
Veronicastrum loshanense Tien T.Chen & F.S.Chou,羅山腹水草,Plantaginaceae
Viburnum,呂宋莢蒾,Caprifoliaceae
"Viburnum arboricolum Hayata, 1914",著生珊瑚樹,Caprifoliaceae
Viburnum foetidum var. rectangulatum,太平山莢蒾,Adoxaceae
Viburnum parvifolium,小葉莢蒾,Adoxaceae
Viburnum propinquum Hemsl.,高山莢迷,Adoxaceae
Viburnum sympodiale,假繡球,Adoxaceae
Viburnum taitoense Hayata,台東莢蒾,Caprifoliaceae
Viburnum taitungense,台東莢蒾,Caprifoliaceae
Vigna angularis var. nipponensis (Ohwi) Ohwi & H. Ohashi,野紅豆,Fabaceae
Vigna liukiuensis,琉球豇豆,Leguminosae
Vigna luteola,長葉豇豆,Leguminosae
Vigna marina (Burm.) Merr.,濱豇豆,Leguminosae
Vigna minima (Roxb.) Ohwi & H.Ohashi,小豇豆,Leguminosae
Vigna reflexopilosa,曲毛豇豆,Leguminosae
Vigna reflexopilosa Hayata,曲毛豇豆,Leguminosae
Vigna sp.,,Leguminosae
Vigna vexillata var. vexillata,,Fabaceae
Vincetoxicum insulicola Meve & Liede,海島鷗蔓,Apocynaceae
Viola adenothrix Hayata,喜岩菫菜,Violaceae
Viola diffusa Ging.,茶匙黃,Violaceae
Viola grypoceras A.Gray,紫花堇菜,Violaceae
Viola nagasawai var. pricei (W.Becker) J.C.Wang & T.C.Huang,普萊氏菫菜,Violaceae
Viscum alniformosanae Hayata,台灣槲寄生,Loranthaceae
Vitex rotundifolia,,Verbenaceae
Vitis amurense,阿穆爾葡萄,Vitaceae
Vittaria anguste-elonagata,姬書帶蕨,Vittariaceae
Wahlenbergia marginata,細葉蘭花參,Campanulaceae
Waltheria americana L.,草梧桐,Sterculiaceae
Wedelia sp.,,Compositae
Whytockia sasakii (Hayata) B.L. Burtt,玉玲花,Gesneriaceae
Wilkstroemis lanceolata,批針葉蕘花,Thymelaeaceae
Wisteriopsis reticulata (Benth.) J.Compton & Schrire,老荊藤,Fabaceae
Wollastonia biflora (L.) DC.,雙花蟛蜞菊,Compositae
Wollastonia dentata (H.Lév. & Vaniot) Orchard,天蓬草舅,Compositae
Woodsia polystichoides D.C.Eaton,岩蕨,鳳尾蕨科 (Pteridaceae)
Xanthium strumarium L.,蒼耳,Compositae
Xylosma congesta,柞木,Flacourtiaceae
Xyris complanta R. Br.,硬葉蔥草,Xyridaceae
Xyris formosana,桃園草,Xyridaceae
Xyris formosana Hayata,桃園草,Xyridaceae
"Yamazakia pusilla (Willd.) W.R.Barker, Y.S.Liang & Wannan",見風紅,Linderniaceae
Youngia sp.,,Compositae
Ypsilandra thibetica Franch.,丫蕊花,Melanthiaceae
Yushania niitakayamensis,玉山箭竹,Poaceae
Yushania niitakayamensis (Hayata) Keng f.,玉山箭竹,Poaceae
Zanthoxylum armatum DC.,秦椒,Rutaceae
Zanthoxylum avicennae,狗花椒,Rutaceae
Zanthoxylum nitidum (Roxb.) DC.,雙面刺,Rutaceae
Zanthoxylum pistaciiflorum,三葉花椒,Rutaceae
Zanthoxylum pistaciiflorum Hayata,三葉花椒,Rutaceae
Zanthoxylum schinifolium Siebold & Zucc.,翼柄花椒,Rutaceae
Zehneria sp.,,Cucurbitaceae
Zelkova serrata (Thunb.) Makino,臺灣櫸,Ulmaceae
Zeuxine nervosa (Wall. ex Lindl.) Benth. ex Trimen,芳線柱蘭,Orchidaceae
Zingiber chengii,狹葉薑,Zingiberaceae
Zingiber mioga,蘘荷,Zingibaraceae
Zingiber pleiostachyum,三奈,Zingiberaceae
Zingiber shuanglongense,雙龍薑,Zingiberaceae
Zingiber sp.,,Zingiberaceae
Zornia diphylla Pers.,丁葵草,Leguminosae
Zornia intecta Mohlenbr.,台東葵草,Leguminosae
